,N̼mero log,Data,Hora,Exemplos,Falhas,DateTime,Hour,DayOfWeek,percentual_falhas_%,percentual_exemplos_%
0,7951714848,2024-02-18,21:08:29,595,0,2024-02-18 21:08:29,21,6,0.00,3.30
1,7962350653,2024-02-19,16:09:23,493,0,2024-02-19 16:09:23,16,0,0.00,2.74
2,8035195268,2024-02-25,03:20:39,503,0,2024-02-25 03:20:39,3,6,0.00,2.79
3,8038831497,2024-02-25,15:04:56,460,0,2024-02-25 15:04:56,15,6,0.00,2.55
4,8038894645,2024-02-25,15:13:59,523,0,2024-02-25 15:13:59,15,6,0.00,2.90
5,8038894645,2024-02-25,15:14:01,556,2,2024-02-25 15:14:01,15,6,3.17,3.09
6,8038909780,2024-02-25,15:17:27,476,0,2024-02-25 15:17:27,15,6,0.00,2.64
7,8116824405,2024-03-01,20:28:06,560,0,2024-03-01 20:28:06,20,4,0.00,3.11
8,8116889855,2024-03-01,20:34:47,645,0,2024-03-01 20:34:47,20,4,0.00,3.58
10,8117011742,2024-03-01,20:47:17,0,0,2024-03-01 20:47:17,20,4,0.00,0.00
9,8117011742,2024-03-01,20:47:17,0,0,2024-03-01 20:47:17,20,4,0.00,0.00
11,8117011742,2024-03-01,20:47:30,0,0,2024-03-01 20:47:30,20,4,0.00,0.00
12,8117011742,2024-03-01,20:47:30,0,0,2024-03-01 20:47:30,20,4,0.00,0.00
13,8124073321,2024-03-02,16:39:41,507,0,2024-03-02 16:39:41,16,5,0.00,2.81
15,8124082356,2024-03-02,16:42:16,543,0,2024-03-02 16:42:16,16,5,0.00,3.01
14,8124082356,2024-03-02,16:43:05,539,13,2024-03-02 16:43:05,16,5,20.63,2.99
16,8125256333,2024-03-02,20:33:01,515,0,2024-03-02 20:33:01,20,5,0.00,2.86
17,8125256333,2024-03-02,20:33:08,576,2,2024-03-02 20:33:08,20,5,3.17,3.20
19,8131035079,2024-03-03,14:59:16,507,9,2024-03-03 14:59:16,14,6,14.29,2.81
18,8131035079,2024-03-03,14:59:40,575,4,2024-03-03 14:59:40,14,6,6.35,3.19
21,8141296662,2024-03-04,13:52:42,507,9,2024-03-04 13:52:42,13,0,14.29,2.81
20,8141296662,2024-03-04,13:52:55,579,4,2024-03-04 13:52:55,13,0,6.35,3.21
24,8145627093,2024-03-04,19:06:47,0,0,2024-03-04 19:06:47,19,0,0.00,0.00
25,8145627093,2024-03-04,19:06:47,0,0,2024-03-04 19:06:47,19,0,0.00,0.00
22,8145627093,2024-03-04,19:06:55,0,0,2024-03-04 19:06:55,19,0,0.00,0.00
23,8145627093,2024-03-04,19:06:55,0,0,2024-03-04 19:06:55,19,0,0.00,0.00
26,8145751703,2024-03-04,19:17:23,508,0,2024-03-04 19:17:23,19,0,0.00,2.82
28,8181483372,2024-03-07,01:32:14,628,11,2024-03-07 01:32:14,1,3,17.46,3.48
27,8181483372,2024-03-07,01:32:21,459,2,2024-03-07 01:32:21,1,3,3.17,2.55
29,8181634441,2024-03-07,01:47:10,495,0,2024-03-07 01:47:10,1,3,0.00,2.75
30,8181648125,2024-03-07,01:49:08,470,0,2024-03-07 01:49:08,1,3,0.00,2.61
31,8181705772,2024-03-07,01:54:58,562,0,2024-03-07 01:54:58,1,3,0.00,3.12
32,8195215016,2024-03-07,21:47:55,508,0,2024-03-07 21:47:55,21,3,0.00,2.82
33,8210335638,2024-03-08,23:45:25,484,0,2024-03-08 23:45:25,23,4,0.00,2.69
34,8222847297,2024-03-10,15:03:17,477,2,2024-03-10 15:03:17,15,6,3.17,2.65
35,8222847297,2024-03-10,15:03:21,615,0,2024-03-10 15:03:21,15,6,0.00,3.41
36,8227568715,2024-03-11,04:17:37,484,0,2024-03-11 04:17:37,4,0,0.00,2.69
37,8228574711,2024-03-11,06:27:18,484,0,2024-03-11 06:27:18,6,0,0.00,2.69
38,8228582003,2024-03-11,06:28:03,484,0,2024-03-11 06:28:03,6,0,0.00,2.69
39,8269133348,2024-03-13,17:39:50,608,0,2024-03-13 17:39:50,17,2,0.00,3.37
41,8285725071,2024-03-14,18:22:18,484,0,2024-03-14 18:22:18,18,3,0.00,2.69
40,8285725071,2024-03-14,18:22:51,613,5,2024-03-14 18:22:51,18,3,7.94,3.40
